Brand,Product Name,Product URL,Image URL,Description,Price,Category
Clinique,Even Better™ Glow Light Reflecting Makeup SPF 15,https://www.notino.co.uk/clinique/even-better-glow-brightening-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/clinique/020714873929_01-o__13.jpg,illuminating foundation SPF 15,22.50,foundation
Lancôme,Teint Miracle,https://www.notino.co.uk/lancome/teint-miracle-hydrating-foundation-spf-15/,https://cdn.notinoimg.com/list_2k/lancome/3614271438058-o__5.jpg,illuminating foundation SPF 15,38.10,foundation
Max Factor,Facefinity,https://www.notino.co.uk/max-factor/facefinity-compact-foundation-spf-20/,https://cdn.notinoimg.com/list_2k/max-factor/8005610545073_01-o__5.jpg,compact foundation SPF 20,7.10,foundation
Avène,Couvrance,https://www.notino.co.uk/avene/couvrance-fluid-coverage-foundation-spf-20/,https://cdn.notinoimg.com/list_2k/avene/3282770050141_01-o__4.jpg,fluid coverage foundation SPF 20,17.10,foundation
MAC Cosmetics,Studio Fix Fluid,https://www.notino.co.uk/mac/studio-fix-fluid-matifying-make-up-spf-15/,https://cdn.notinoimg.com/list_2k/mac_cosmetics/773602103478_01-o__3.jpg,mattifying foundation SPF 15,22.20,foundation
NYX Professional Makeup,Can't Stop Won't Stop Full Coverage Foundation,https://www.notino.co.uk/nyx-professional-makeup/cant-stop-wont-stop-full-coverage-foundation/,https://cdn.notinoimg.com/list_2k/nyx-professional-makeup/800897157234_01-o__3.jpg,full coverage foundation,14.80,foundation
Nivea,Hyaluron Cellular Filler Cushion,https://www.notino.co.uk/nivea/hyaluron-cellular-filler-cushion-foundation-3-in-1/,https://cdn.notinoimg.com/list_2k/nivea/4005900437471_01-o.jpg,cushion foundation 3-in-1,23.90,foundation
Shiseido,Synchro Skin Self-Refreshing Foundation,https://www.notino.co.uk/shiseido/synchro-skin-self-refreshing-foundation-long-lasting-foundation-spf-30/,https://cdn.notinoimg.com/list_2k/shiseido/730852160798_01.jpg,long-lasting foundation SPF 30,34.80,foundation
GUERLAIN,Parure Gold Radiance Foundation,https://www.notino.co.uk/guerlain/parure-gold-brightening-liquid-foundation-spf-30/,https://cdn.notinoimg.com/list_2k/guerlain/3346470430310xx_01.jpg,brightening liquid foundation SPF 30,52.40,foundation
Shiseido,Synchro Skin Self-Refreshing Custom Finish Powder Foundation,https://www.notino.co.uk/shiseido/synchro-skin-self-refreshing-custom-finish-powder-foundation-powder-foundation/,https://cdn.notinoimg.com/list_2k/shiseido/729238161139_01.jpg,powder foundation,38.20,foundation
Collistar,Idro-Attiva Magica BB + Detox,https://www.notino.co.uk/collistar/magica-bb-detox-hydrating-bb-cream-spf-20/,https://cdn.notinoimg.com/list_2k/collistar/8015150211321_01-o.jpg,hydrating BB cream SPF 20,21.20,foundation
Heimish,Artless Perfect Cushion,https://www.notino.co.uk/heimish/artless-perfect-cushion-long-lasting-foundation-cushion-spf-50/,https://cdn.notinoimg.com/list_2k/heimish/8809481760487_01-o.jpg,long-lasting cushion foundation SPF 50+,27.80,foundation
Max Factor,Facefinity Lasting Performance,https://www.notino.co.uk/max-factor/facefinity-lasting-performance-liquid-foundation-with-long-lasting-effect/,https://cdn.notinoimg.com/list_2k/max-factor/3616301254546_01.jpg,liquid foundation with long-lasting effect,5.30,foundation
L’Oréal Paris,Infaillible Fresh Wear 24h,https://www.notino.co.uk/loreal-paris/infaillible-fresh-wear-24h-powder-foundation/,https://cdn.notinoimg.com/list_2k/loreal-paris/3600523951741_01-o.jpg,powder foundation,11.80,foundation
Gosh,Chameleon,https://www.notino.co.uk/gosh/chameleon-ultra-lightweight-foundation/,https://cdn.notinoimg.com/list_2k/gosh/5711914159801_01-o.jpg,ultra-lightweight foundation,11.20,foundation
Eveline Cosmetics,Selfie Time,https://www.notino.co.uk/eveline-cosmetics/selfie-time-foundation-and-concealer-2-in-1/,https://cdn.notinoimg.com/list_2k/eveline-cosmetics/5903416001744_01-o.jpg,foundation and concealer 2-in-1,5.70,foundation
L’Oréal Paris,True Match Nude Plumping Tinted Serum,https://www.notino.co.uk/loreal-paris/true-match-nude-plumping-tinted-serum-serum-for-even-skintone/,https://cdn.notinoimg.com/list_2k/loreal-paris/3600523989904_01-o.jpg,serum to even out skin tone,13.20,foundation
Bourjois,Healthy Mix,https://www.notino.co.uk/bourjois/healthy-mix-lightweight-foundation-with-moisturizing-effect/,https://cdn.notinoimg.com/list_2k/bourjois/3616303011123_01-o.jpg,lightweight foundation with moisturising effect,8.60,foundation
Bourjois,Always Fabulous,https://www.notino.co.uk/bourjois/always-fabulous-compact-powder-foundation/,https://cdn.notinoimg.com/list_2k/bourjois/3616303065539_01-o.jpg,mattifying powder,5.90,foundation
Maybelline,Instant Age Rewind Perfector 4-IN-1,https://www.notino.co.uk/maybelline/instant-age-rewind-perfector-4-in-1-mattifying-foundation-4-in-1/,https://cdn.notinoimg.com/list_2k/maybelline/3600531639501_01-o.jpg,mattifying foundation 4-in-1,11.00,foundation
Max Factor,Creme Puff,https://www.notino.co.uk/max-factor/creme-puff-compact-powder/,https://cdn.notinoimg.com/list_2k/max-factor/3616302748815_01-o.jpg,compact powder,5.70,foundation
puroBIO Cosmetics,Compact Foundation,https://www.notino.co.uk/purobio-cosmetics/compact-foundation-compact-powder-foundation-spf-10/,https://cdn.notinoimg.com/list_2k/purobio_cosmetics/8051411362227_01-o.jpg,compact powder foundation SPF 10,13.40,foundation
Makeup Revolution,IRL Filter,https://www.notino.co.uk/makeup-revolution/irl-filter-long-lasting-mattifying-foundation/,https://cdn.notinoimg.com/list_2k/makeup-revolution/5057566186001_01-o.jpg,long-lasting mattifying foundation,8.40,foundation
Bioderma,Photoderm Cover Touch,https://www.notino.co.uk/bioderma/photoderm-cover-touch-full-coverage-foundation-spf-50/,https://cdn.notinoimg.com/list_2k/bioderma/3701129803424_01-o.jpg,full coverage foundation SPF 50+,18.50,foundation
Paese,Collagen,https://www.notino.co.uk/paese/collagen-moisturizing-makeup-primer-with-collagen/,https://cdn.notinoimg.com/list_2k/paese/5902627613340_01-o.jpg,hydrating foundation with collagen,7.80,foundation
Paese,Long Cover Fluid,https://www.notino.co.uk/paese/long-cover-fluid-correcting-primer/,https://cdn.notinoimg.com/list_2k/paese/5902627618253_01-o.jpg,high-coverage liquid foundation,15.10,foundation
